author_sort,authors,comments,cover,timestamp,formats,isbn,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,id,uuid
"Zornitza","Zornitza","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Zornitza/Rusienski univiersitiet _Anghiel Knchiev_ (1)/cover.jpg","2018-01-17T16:17:13+02:00","pdf","","","","library","2016-03-20T15:52:36+02:00","","","","1.0","3833328","","Русенски университет ""Ангел Кънчев""","Русенски университет ""Ангел Кънчев""","1","b4a2ba95-9308-4b4f-b34e-c8f8498df4c6"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/[Thilo Kielmann, Guillaume Pierre, Christine Morin(b-ok.org) (2)/cover.jpg","2018-01-17T16:17:13+02:00","pdf","","","","library","2010-05-26T05:52:59+03:00","","","","1.0","3515216","","[Thilo Kielmann, Guillaume Pierre, Christine Morin(b-ok.org)","[Thilo Kielmann, Guillaume Pierre, Christine Morin(b-ok.org)","2","cc207b80-0a24-417a-ab19-097ec7875682"
"Stevens, Kevin R. Fall; W. Richard","Kevin R. Fall; W. Richard Stevens","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Kevin R. Fall; W. Richard Stevens/TCP_IP Illustrated, Volume 1_ The Protocols (3)/cover.jpg","2018-01-17T16:17:13+02:00","pdf","","","","library","2011-10-18T12:14:55+03:00","","","","1.0","20459099","","TCP/IP Illustrated, Volume 1: The Protocols","TCP/IP Illustrated, Volume 1: The Protocols","3","97fb9364-7a93-404c-9ff6-56588037f501"
"www.colorpilot.com","www.colorpilot.com","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/www.colorpilot.com/eBook.Prentice.Hall.-.Computer.Networks.Fourth.Edition.ShareReactor (4)/cover.jpg","2018-01-17T16:17:14+02:00","pdf","","","","library","0101-01-01T02:00:00+02:00","","","","1.0","13794623","","eBook.Prentice.Hall.-.Computer.Networks.Fourth.Edition.ShareReactor","eBook.Prentice.Hall.-.Computer.Networks.Fourth.Edition.ShareReactor","4","bc5df7f4-a788-48de-aec1-369e1754d535"
"Sergiienko, Andrii","Andrii Sergiienko","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Andrii Sergiienko/WebRTC Blueprints (5)/cover.jpg","2018-01-17T16:17:15+02:00","pdf","","","","library","2014-06-27T11:29:02+03:00","","","","1.0","1697717","","WebRTC Blueprints","WebRTC Blueprints","5","b901eab0-39ea-4985-9b2d-f5bc9984e7fb"
"Grigorik, Ilya","Ilya Grigorik","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Ilya Grigorik/High Performance Browser Networking (6)/cover.jpg","2018-01-17T16:17:15+02:00","pdf","","","","library","2013-09-09T23:55:31+03:00","","","","1.0","17384174","IT eBooks, www.it-ebooks.info","High Performance Browser Networking","High Performance Browser Networking","6","dbca273b-4a40-4c99-bf0b-c7d3cf6d44a9"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/PacktPub.Getting.Started.with.WebRTC.Sep.2013 (7)/cover.jpg","2018-01-17T16:17:15+02:00","pdf","","","","library","2013-09-25T10:07:52+03:00","","","","1.0","1335378","","PacktPub.Getting.Started.with.WebRTC.Sep.2013","PacktPub.Getting.Started.with.WebRTC.Sep.2013","7","91f793e3-2199-4bba-b046-292ec42b51cb"
"Loreto, Salvatore & Romano, Simon Pietro","Salvatore Loreto & Simon Pietro Romano","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Salvatore Loreto/Real-Time Communication with WebRTC (8)/cover.jpg","2018-01-17T16:17:15+02:00","pdf","","","","library","2014-04-14T20:07:54+03:00","","","","1.0","25048882","","Real-Time Communication with WebRTC","Real-Time Communication with WebRTC","8","2b082388-82a9-4939-8b9f-232555aa1b9d"
"Unknown","Unknown","","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Unknown/javascript the good parts (9)/cover.jpg","2018-01-17T16:17:16+02:00","pdf","","","","library","2008-07-02T20:12:48+03:00","","","","1.0","1556228","","javascript the good parts","javascript the good parts","9","3d204df1-4f72-4dbe-b67d-2c4747e6709f"
"Oram, Andy","Andy Oram (editor)","harnessing the power of disruptive technologies","/home/dido/Nextcloud/doktorantura/onet/documentation/library/Andy Oram (editor)/Peer to Peer (10)/cover.jpg","2018-01-17T16:17:16+02:00","pdf","","","","library","2001-11-22T23:43:16+02:00","","","","1.0","2159467","harnessing the power of disruptive technologies","Peer to Peer","Peer to Peer","10","75f85f5c-e489-4e38-86c7-a056bf93519d"
